@RELATION spam
@ATTRIBUTE avg_RTs REAL
@ATTRIBUTE avg_favs REAL
@ATTRIBUTE bigram_control REAL
@ATTRIBUTE favorites REAL
@ATTRIBUTE followers REAL
@ATTRIBUTE friends REAL
@ATTRIBUTE geo_enabled REAL
@ATTRIBUTE mentions REAL
@ATTRIBUTE num_RTs REAL
@ATTRIBUTE num_hapexes REAL
@ATTRIBUTE num_hashtags REAL
@ATTRIBUTE num_links REAL
@ATTRIBUTE pct_hapexes REAL
@ATTRIBUTE screen_name_len REAL
@ATTRIBUTE status_count REAL
@ATTRIBUTE time_diff REAL
@ATTRIBUTE unigram_nospam REAL
@ATTRIBUTE unigram_spam REAL
@ATTRIBUTE unigram_total REAL
@ATTRIBUTE unique_bigrams REAL
@ATTRIBUTE Spam {True, False}
@DATA
170.9,0.0,84.720002127,163,32903,36502,0,1,1,0,0,20,0.0,7,11749,0,109.612443575,124.539452048,115.795268404,0.504504504505, False
0.0,0.0,119.426673163,13311,384,756,1,3,0,3,20,0,0.00554528650647,15,103554,0,161.28376744,211.563150932,175.435167226,0.0865384615385, False
0.0,0.0,118.644921778,0,4,0,0,1,1,40,0,20,0.0867678958785,11,2957,0,122.220442749,140.587121743,129.681678037,0.177272727273, False
0.0,0.0,43.2187489205,7,317,693,0,0,0,33,0,19,0.0882352941176,15,4200,2,75.6639714164,77.8397821317,77.0080620528,0.629411764706, False
388.55,0.0,98.8536808716,1141,654,1996,0,2,0,54,22,17,0.0919931856899,13,6946,0,136.079432006,141.099156762,139.845492246,0.710714285714, False
63.8125,1.0,105.559688145,3,59166,52249,0,1,0,23,0,13,0.0563725490196,10,645,1,144.351852704,151.199194859,148.143850634,0.625641025641, False
1.05,0.0,58.688672114,286,152,260,1,2,1,39,0,20,0.0776892430279,9,2579,2,69.2307024835,76.6968562274,72.9099237547,0.216919739696, False
38.65,3.5,111.108053819,3,690,185,0,0,0,25,67,10,0.0463821892393,15,43,31,142.103381682,154.348220078,147.718577765,0.343023255814, False
533.4,0.0,64.0328762186,3,38,95,0,0,0,47,22,11,0.0873605947955,14,79,7,91.2250620636,95.5924264044,93.8845414205,0.612326043738, False
0.0,0.0,127.341256873,0,0,0,0,1,0,40,0,20,0.0798403193613,12,1684,0,134.295008917,158.44745174,143.066361136,0.166666666667, False
0.05,0.1,114.872700014,7,5063,5056,0,0,0,53,54,20,0.0974264705882,6,15921,0,155.332423631,171.959145191,164.291196388,0.63601532567, False
170.9,0.0,84.720002127,1836,79014,38937,0,1,1,0,0,20,0.0,9,94780,0,109.612443575,124.539452048,115.795268404,0.504504504505, False
0.0,0.0,23.0511614991,188,1513,1929,1,0,0,114,15,15,0.39175257732,6,129140,0,91.8435768644,101.43461551,99.5840431065,0.772727272727, False
305.45,0.0,64.0116456288,8,32,288,0,0,0,30,24,19,0.0705882352941,12,2289,1,99.5555262964,105.577909075,103.251837331,0.68765743073, False
0.0,0.0,49.0689013941,11,615,515,1,0,0,39,0,20,0.117117117117,4,3567,29,56.2827094951,64.7208777303,60.378719574,0.173913043478, False
0.0,0.0,47.8189888923,0,177,21,0,0,0,60,0,20,0.13856812933,13,24845,1,133.475242699,153.499566419,144.329678991,0.599508599509, False
2077.7,62.3,46.2669375119,4,65178,638,0,1,0,43,0,8,0.147260273973,12,404,45,85.8752948604,87.5603681621,87.7289159169,0.832089552239, False
0.1,0.05,80.4949635301,0,808,1668,0,0,0,22,11,22,0.0582010582011,12,2478,0,113.956868509,122.374320549,118.562227075,0.53781512605, False
0.1,0.05,68.1971382004,0,445,1056,0,0,0,23,6,22,0.0682492581602,10,2423,0,105.930624658,114.389526048,110.4756342,0.636075949367, False
0.0,0.0,31.1620829209,0,888,1470,0,0,0,42,2,20,0.141891891892,12,1244,0,50.2688756229,53.2265085354,52.3892009572,0.758754863813, False
0.0,0.0,30.2357600132,1,54,97,0,0,0,62,5,22,0.193146417445,13,269,6,63.5959775439,62.7591259337,64.0328262147,0.830985915493, True
0.85,5.85,27.0540224247,7931,58679,18723,0,0,0,33,0,4,0.139240506329,6,14758,2,75.8274107511,73.2984808237,75.0297155995,0.943396226415, True
90.7,0.0,43.8328103577,876,109,256,0,1,1,90,8,7,0.220048899756,15,1467,0,98.4545529298,97.0498658486,99.490572502,0.84126984127, True
3805.55,0.0,63.1336290985,171,822,2004,0,1,1,35,0,0,0.079006772009,15,359,1,145.756092715,138.455132716,141.251768451,0.838095238095, True
1339.35,0.0,47.4391563233,4,120,86,1,1,0,71,8,6,0.179746835443,7,1558,136,90.3124488639,89.0987307879,91.1475827632,0.870879120879, True
531.3,0.15,45.9434667725,2277,1126,644,0,1,0,29,6,2,0.104693140794,11,23731,3,84.4640351817,82.9234552813,84.325316604,0.669291338583, True
0.65,0.45,54.4245546658,1375,1176,1981,0,1,0,57,23,11,0.145408163265,7,2729,4,96.0601549678,94.2165257785,96.2968582561,0.804945054945, True
2.05,0.4,50.0878349875,7029,2068,1821,0,1,0,55,14,14,0.142118863049,9,10082,3,99.0185304661,97.3480423464,99.1096064348,0.910863509749, True
2.3,0.0,25.4148920974,7,262,289,0,0,0,26,3,0,0.13,7,15494,1,67.9246127442,64.7340077493,66.585341883,0.898305084746, True
0.5,0.1,45.37836622,539,3314,1476,0,0,0,55,27,21,0.149863760218,13,5776,5,87.1778168717,86.6101243971,88.292337951,0.836795252226, True
0.4,0.15,42.3160964429,149,709,504,1,0,0,47,2,2,0.110328638498,14,3595,1,120.57542197,114.187308889,117.403878891,0.844221105528, True
513.85,0.0,94.8019031762,849,282,2001,0,1,0,37,41,9,0.0635738831615,12,20889,0,137.383747057,138.226812002,138.607750218,0.658273381295, True
126.2,0.2,29.7904991273,1853,413,422,0,0,0,26,0,1,0.112068965517,11,26110,1,74.4044259334,70.3834812725,72.4185380313,0.918269230769, True
0.0,0.1,55.3021976396,1,314834,563,0,1,0,34,0,17,0.0952380952381,14,98068,0,106.564444758,103.741948666,105.769904091,0.654654654655, True
10.55,0.05,53.3758720136,735,185,420,0,2,0,38,16,4,0.08,9,2045,0,105.870496335,101.138360848,103.695214048,0.68018018018, True
0.0,0.0,41.3360135934,2,792,497,0,0,0,81,18,16,0.217158176944,15,64633,0,128.607225006,124.518181426,128.482181891,0.896848137536, True
0.35,0.0,52.2091196664,148,1283,409,1,0,0,51,35,19,0.115909090909,14,3481,11,101.398082835,97.8065285196,99.8247828546,0.682151589242, True
1436.0,0.05,50.334158851,316,926,1977,0,1,0,78,15,7,0.190709046455,9,3046,13,97.1789523954,95.8026839411,98.0721283284,0.79419525066, True
